id,member_id,member_name,member_level,faction,points,joins,clears
369,1946702,Stratiotis,73,PT,85361,135,198
370,112080,rupe13,65,PT,33491,90,118
371,235408,RonSwanson,68,PT,77336,148,183
372,894480,The_Spank,69,undefined,38101,81,69
373,1044317,misanthrope,65,PT,100359,576,59
374,1844909,Deathy,56,undefined,2045,9,3
375,1955080,AzureFlameGod,52,PT,45275,79,110
376,949287,--ccman2215--,81,PT,60597,25,4
377,2003812,Groll,61,PT,97915,223,138
378,1730561,TheDaredVermin,75,PT,78413,309,184
379,1867085,Recidivist,40,PT,83448,212,229
380,1441788,Plunkett,28,PT,41307,48,0
381,465395,The_Stab,69,PT,83211,249,241
382,1976145,Maching,80,PT,217688,224,25
383,1755293,Greenbastard,50,PT,49235,138,89
384,4309,Buzz,95,UR,631548,727,572
385,111337,PxKSnowball,68,UR,181183,331,209
386,1970116,_stray_,50,UR,60366,11,0
387,10163,xXSupraXx,40,UR,149535,223,23
388,1569797,Larten_Crepsley,69,BT,106323,90,18
389,1479036,Wild_Irish_Btch,83,R*1,218384,312,88
390,1724255,BigBoyKhan,62,UR,260263,901,97
391,420413,DrWEEDKILLA,65,UR,136352,189,105
392,1900654,ItsZahid,65,UR,375438,2089,422
393,2106899,ash1futbol,48,HA,79110,184,44
394,1977350,g-eazy,48,URM,109375,113,0
395,420862,Rico_,86,UR,396887,225,57
396,1383932,Seedman123,45,UR,66171,46,1
397,2116074,xHageneeSx,40,UR,101843,355,55
398,2075264,JinHoshi,60,UR,183665,428,76
399,1831950,TRex,75,CAT!,38216,1,0
400,1662528,Lucretia,45,UR,142088,448,81
401,1776756,Cxurtney,39,UR,52094,66,6
402,2107926,Wompyyy,42,UR,187253,869,99
403,2082554,Blume,50,UR,72958,156,35
404,256850,Killer-For-Hire,88,TMB,171076,97,22
405,2192470,EvenOdds_,32,UR,156690,662,220
406,2114845,Jedlin,25,UR,50271,120,24
407,1980309,gustapo,65,UR,170024,359,115
408,2150408,EtherealZ,31,HeLa,64444,109,0
409,2203961,Red-Rabbit,23,UR,121466,393,0
410,1782274,Seba_Nile,57,BT,60953,85,35
411,1924816,Prometheus,62,UR,76293,62,24
412,1950560,TheAdvert,35,BT,22171,19,2
413,1040269,Uncle_D,61,UR,125832,342,277
414,1754417,MRDON,17,UR,64778,115,69
415,1044045,WasteItOnMe,42,UR,79122,187,3
416,1784533,ametropia,61,UR,78220,191,53
417,2110470,DeathToAmerica,35,UR,116678,500,69
418,2163319,Sparklemadness,27,HeLa,45974,99,3
419,2148145,-_-BIRD-_-,44,UR,54593,131,20
420,2173624,PanzerFuhrer,25,UR,48384,100,13
421,2038635,Gadzt,51,UR,64684,126,32
422,985017,abzzy12988,43,undefined,23885,38,0
423,2161724,CaptainGreen,25,UR,64832,218,20
424,2014756,schwendy,22,UR,40387,55,2
425,2031027,Woytech,39,UR,53179,103,6
426,1980299,Tanne,56,UR,95963,208,62
427,2072034,MolonLabe,58,UR,123718,256,135
428,2097950,biltre,23,UR,32032,85,11
429,2081928,Al1m_121,37,BT,11908,4,0
430,2173602,ItsSpaceOG,20,UR,31368,58,5
431,1179551,holman76,57,UR,67380,101,25
432,586394,Cynical,52,UR,35303,60,47
433,2040977,k3ryck,32,UR,32299,61,4
434,2007755,Rajput15,31,UR,40313,116,32
435,2066685,Pachico,61,UR,103796,436,183
436,2032777,Chr1s,28,UR,2179,3,0
437,2082068,NevilleHuffy,39,UR,37261,161,5
438,2121421,nefarious_child,25,UR,30334,110,2
439,1992877,Zakara,37,UR,15851,17,0
440,1927822,Hisame,41,UR,21214,39,8
441,920743,aftershock,66,UR,55296,113,65
442,1815363,Wing-Zero,65,UR,106275,252,120
443,527397,cooljoew,62,PT,82081,147,91
444,2010418,Krakatok,30,PT,24713,95,40
445,2011298,Sanidade,60,MnC,115937,319,117
446,1309896,DonaldTrump,65,39H,1673,12,10
447,1846544,JaFosteHaha,15,PT,165349,681,217
448,2031378,CubanMamba,58,PT,42457,59,15
449,1625061,Medikation,35,PT,61536,200,44
450,2091318,tyrech,49,PT,91214,338,287
451,2049768,Haiku,64,UR,100466,328,243
452,506807,Mathik,60,PT,48565,103,101
453,2109263,Vanq,36,PT,62823,411,147
454,2095726,The_Swag,51,PT,147369,630,201
455,2023175,-Cahaya-,48,PT,163126,675,148
456,2006530,mjuds,55,PT,35290,29,2
457,278009,CashLaundry,60,DE,385,3,0
458,2001645,The_Dest,40,PT,28308,121,5
459,2140025,BeerDrinker,15,PT,35037,179,157
460,1066552,Steam,50,PT,72708,349,68
461,2091861,Sulla_Khan,42,PT,78451,266,99
462,1963956,AGP-CIEL,60,undefined,2067,13,25
463,541847,Eltan,35,PT,68924,77,5
464,838134,Limonada,69,PT,118984,233,300
465,2062714,-Grey-,15,PT,103836,661,78
466,1612601,Gooding,67,PT,74280,267,195
467,532553,Asuran,31,PT,14920,150,28
468,495689,Manners,80,undefined,47717,81,202
469,2074008,EyehrtBaseball,55,KMA,56,1,0
470,79649,regulator906,67,PT,37080,25,10
471,2046131,Sub,89,PT,248732,510,209
472,1433367,CitizenSnips,66,UNT,39139,57,61
473,949262,MeRocks,69,PT,228263,1125,408
474,1879587,Proxima,100,~WP~,782266,1037,935
475,1915023,CrazedOne,99,C.R,876224,735,853
476,1288134,Browe,99,C.R,870039,1099,547
477,1317237,Touch,100,C.R,825011,704,813
478,1352251,ChristmasBazaar,100,C.R,833479,484,809
479,77011,DFC,100,C.R,1033802,551,518
480,202258,piney,100,C.R,703916,389,415
481,428286,AlleyCat,100,C.R,272178,149,221
482,1884314,MeanMike,95,C.R,253676,446,180
483,360957,CaptainBiceps,99,C.R,282336,178,126
484,2013640,Johnny_G,90,C.R,228801,397,36
485,2015160,HDS_Andrew616,90,TNL,90391,150,49
486,1525609,RefleX_,98,C.R,718568,597,581
487,1712182,Muttley,86,C.R,450079,727,153
488,1967379,Tyrion,85,C.R,371242,931,239
489,1982831,VinnyCarwash,89,C.R,306088,536,306
490,1010587,myshoeshurt,100,C.R,277290,328,76
491,1648788,_7_,94,C.R,327006,312,151
492,1899531,zaje,88,C.R,257853,492,211
493,249471,Decisive_Fire,90,C.R,443346,1014,142
494,1918071,DeusVorpal,80,C.R,207823,419,106
495,1420465,Mujera,82,C.R,476025,939,145
496,1885249,Tinybubble,90,C.R,214360,233,119
497,1977742,NOLAW,86,C.R,274621,455,191
498,942591,MaxMekker,95,C.R,274281,53,121
499,1998312,MrLovePants,86,C.R,368249,829,200
500,575512,shwibbing,80,C.R,232995,229,140
501,1958969,Mania,90,C.R,584898,985,268
502,209070,Tascon,100,39th,749950,344,511
503,590839,-BC-Pagee,100,C.R,376099,220,298
504,2003190,kittenaround,85,~WP~,419238,1322,240
505,125079,No-Stress,99,C.R,414764,166,103
506,460247,Hippopotamus,95,C.R,133020,47,41
507,1554256,DoinYaMom,98,C.R,450837,525,541
508,1579270,PsycWard,91,C.R,478616,1129,202
